question_E,query,question_VN
What airline serves the most flights?,SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline ORDER BY count(*) DESC LIMIT 1,Hãng hàng không phục vụ nhiều chuyến bay nhất?
Find the abbreviation and country of the airline that has fewest number of flights?,"SELECT T1.Abbreviation ,  T1.Country FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline ORDER BY count(*) LIMIT 1",Tìm viết tắt và quốc gia của hãng hàng không có số lượng chuyến bay ít nhất?
What is the abbreviation of the airilne has the fewest flights and what country is it in?,"SELECT T1.Abbreviation ,  T1.Country FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline ORDER BY count(*) LIMIT 1",Chữ viết tắt của Airilne có ít chuyến bay nhất và quốc gia nào ở trong nước?
What are airlines that have some flight departing from airport 'AHD'?,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""AHD""",Các hãng hàng không có một số chuyến bay khởi hành từ sân bay 'AHD' là gì?
Which airlines have a flight with source airport AHD?,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""AHD""",Những hãng hàng không có chuyến bay với AHD Sân bay Nguồn?
What are airlines that have flights arriving at airport 'AHD'?,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.DestAirport  =  ""AHD""",Các hãng hàng không có các chuyến bay đến sân bay 'AHD' là gì?
Which airlines have a flight with destination airport AHD?,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.DestAirport  =  ""AHD""",Những hãng hàng không có chuyến bay với AHD AHD của Destination Airport?
Find all airlines that have flights from both airports 'APG' and 'CVO'.,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",Tìm tất cả các hãng hàng không có các chuyến bay từ cả hai sân bay 'APG' và 'CVO'.
Which airlines have departing flights from both APG and CVO airports?,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG"" INTERSECT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO""",Những hãng hàng không nào có chuyến bay khởi hành từ cả sân bay APG và CVO?
Find all airlines that have flights from airport 'CVO' but not from 'APG'.,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO"" EXCEPT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG""",Tìm tất cả các hãng hàng không có các chuyến bay từ sân bay 'CVO' nhưng không phải từ 'APG'.
Which airlines have departures from CVO but not from APG airports?,"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO"" EXCEPT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG""",Những hãng hàng không nào có khởi hành từ CVO nhưng không phải từ các sân bay APG?
Find all airlines that have at least 10 flights.,SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  >  10,Tìm tất cả các hãng hàng không có ít nhất 10 chuyến bay.
Which airlines have at least 10 flights?,SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  >  10,Những hãng hàng không nào có ít nhất 10 chuyến bay?
Find all airlines that have fewer than 200 flights.,SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  <  200,Tìm tất cả các hãng hàng không có ít hơn 200 chuyến bay.
Which airlines have less than 200 flights?,SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  <  200,Những hãng hàng không có ít hơn 200 chuyến bay?
"What are flight numbers of Airline ""United Airlines""?","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines""","Số lượng chuyến bay của hãng hàng không ""United Airlines"" là gì?"
Which flight numbers correspond to United Airlines flights?,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines""",Số chuyến bay nào tương ứng với các chuyến bay của United Airlines?
"What are flight numbers of flights departing from Airport ""APG""?","SELECT FlightNo FROM FLIGHTS WHERE SourceAirport  =  ""APG""","Số lượng chuyến bay của các chuyến bay khởi hành từ sân bay ""APG"" là gì?"
Give the flight numbers of flights leaving from APG.,"SELECT FlightNo FROM FLIGHTS WHERE SourceAirport  =  ""APG""",Cung cấp cho số lượng chuyến bay của các chuyến bay rời khỏi APG.
"What are flight numbers of flights arriving at Airport ""APG""?","SELECT FlightNo FROM FLIGHTS WHERE DestAirport  =  ""APG""","Số lượng chuyến bay của các chuyến bay đến sân bay ""APG"" là gì?"
Give the flight numbers of flights landing at APG.,"SELECT FlightNo FROM FLIGHTS WHERE DestAirport  =  ""APG""",Cung cấp cho số lượng chuyến bay của các chuyến bay hạ cánh tại APG.
"What are flight numbers of flights departing from City ""Aberdeen ""?","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""","Số lượng chuyến bay của các chuyến bay khởi hành từ thành phố ""Aberdeen"" là gì?"
Give the flight numbers of flights leaving from Aberdeen.,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",Cung cấp cho số lượng chuyến bay của các chuyến bay rời khỏi Aberdeen.
"What are flight numbers of flights arriving at City ""Aberdeen""?","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""","Số lượng chuyến bay của các chuyến bay đến thành phố ""Aberdeen"" là gì?"
Give the flight numbers of flights arriving in Aberdeen.,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",Cung cấp cho số lượng chuyến bay của các chuyến bay đến Aberdeen.
Find the number of flights landing in the city of Aberdeen or Abilene.,"SELECT count(*) FROM Flights AS T1 JOIN Airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.city  =  ""Aberdeen"" OR T2.city  =  ""Abilene""",Tìm số lượng chuyến bay hạ cánh ở thành phố Aberdeen hoặc Abilene.
How many flights land in Aberdeen or Abilene?,"SELECT count(*) FROM Flights AS T1 JOIN Airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.city  =  ""Aberdeen"" OR T2.city  =  ""Abilene""",Có bao nhiêu chuyến bay ở Aberdeen hoặc Abilene?
Find the name of airports which do not have any flight in and out.,SELECT AirportName FROM Airports WHERE AirportCode NOT IN (SELECT SourceAirport FROM Flights UNION SELECT DestAirport FROM Flights),Tìm tên của các sân bay không có bất kỳ chuyến bay vào và ra.
Which airports do not have departing or arriving flights?,SELECT AirportName FROM Airports WHERE AirportCode NOT IN (SELECT SourceAirport FROM Flights UNION SELECT DestAirport FROM Flights),Những sân bay nào không có chuyến bay khởi hành hoặc đến?
How many employees are there?,SELECT count(*) FROM employee,Có bao nhiêu nhân viên?
Count the number of employees,SELECT count(*) FROM employee,Đếm số lượng nhân viên
Sort employee names by their age in ascending order.,SELECT name FROM employee ORDER BY age,Sắp xếp tên nhân viên theo độ tuổi của họ theo thứ tự tăng dần.
List the names of employees and sort in ascending order of age.,SELECT name FROM employee ORDER BY age,Liệt kê tên của nhân viên và sắp xếp theo thứ tự tăng dần của tuổi.
What is the number of employees from each city?,"SELECT count(*) ,  city FROM employee GROUP BY city",Số lượng nhân viên từ mỗi thành phố là bao nhiêu?
Count the number of employees for each city.,"SELECT count(*) ,  city FROM employee GROUP BY city",Đếm số lượng nhân viên cho mỗi thành phố.
Which cities do more than one employee under age 30 come from?,SELECT city FROM employee WHERE age  <  30 GROUP BY city HAVING count(*)  >  1,Những thành phố nào làm nhiều hơn một nhân viên dưới 30 tuổi đến từ?
Find the cities that have more than one employee under age 30.,SELECT city FROM employee WHERE age  <  30 GROUP BY city HAVING count(*)  >  1,Tìm các thành phố có nhiều hơn một nhân viên dưới 30 tuổi.
Find the number of shops in each location.,"SELECT count(*) ,  LOCATION FROM shop GROUP BY LOCATION",Tìm số lượng cửa hàng ở mỗi địa điểm.
How many shops are there in each location?,"SELECT count(*) ,  LOCATION FROM shop GROUP BY LOCATION",Có bao nhiêu cửa hàng ở mỗi địa điểm?
Find the manager name and district of the shop whose number of products is the largest.,"SELECT manager_name ,  district FROM shop ORDER BY number_products DESC LIMIT 1",Tìm tên người quản lý và quận của cửa hàng có số lượng sản phẩm là lớn nhất.
What are the manager name and district of the shop that sells the largest number of products?,"SELECT manager_name ,  district FROM shop ORDER BY number_products DESC LIMIT 1",Tên người quản lý và quận của cửa hàng bán số lượng sản phẩm lớn nhất là gì?
find the minimum and maximum number of products of all stores.,"SELECT min(Number_products) ,  max(Number_products) FROM shop",Tìm số lượng sản phẩm tối thiểu và tối đa của tất cả các cửa hàng.
What are the minimum and maximum number of products across all the shops?,"SELECT min(Number_products) ,  max(Number_products) FROM shop",Số lượng sản phẩm tối thiểu và tối đa trên tất cả các cửa hàng là gì?
"Return the name, location and district of all shops in descending order of number of products.","SELECT name ,  LOCATION ,  district FROM shop ORDER BY number_products DESC","Trả lại tên, vị trí và quận của tất cả các cửa hàng theo thứ tự giảm dần số lượng sản phẩm."
"Sort all the shops by number products in descending order, and return the name, location and district of each shop.","SELECT name ,  LOCATION ,  district FROM shop ORDER BY number_products DESC","Sắp xếp tất cả các cửa hàng theo các sản phẩm số theo đơn đặt hàng giảm dần, và trả lại tên, địa điểm và quận của mỗi cửa hàng."
Find the names of stores whose number products is more than the average number of products.,SELECT name FROM shop WHERE number_products  >  (SELECT avg(number_products) FROM shop),Tìm tên của các cửa hàng có sản phẩm số hơn số lượng sản phẩm trung bình.
Which shops' number products is above the average? Give me the shop names.,SELECT name FROM shop WHERE number_products  >  (SELECT avg(number_products) FROM shop),Which shops' number products is above the average? Give me the shop names.
find the name of employee who was awarded the most times in the evaluation.,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID GROUP BY t2.Employee_ID ORDER BY count(*) DESC LIMIT 1,Tìm tên của nhân viên đã được trao nhiều lần nhất trong đánh giá.
Which employee received the most awards in evaluations? Give me the employee name.,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID GROUP BY t2.Employee_ID ORDER BY count(*) DESC LIMIT 1,Nhân viên nào nhận được nhiều giải thưởng nhất trong các đánh giá? Cho tôi tên nhân viên.
Find the name of the employee who got the highest one time bonus.,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,Tìm tên của nhân viên nhận được phần thưởng cao nhất một lần.
Which employee received the biggest bonus? Give me the employee name.,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,Nhân viên nào nhận được tiền thưởng lớn nhất? Cho tôi tên nhân viên.
Find the names of employees who never won any award in the evaluation.,SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),Tìm tên của những nhân viên không bao giờ giành được bất kỳ giải thưởng nào trong đánh giá.
What are the names of the employees who never received any evaluation?,SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),Tên của các nhân viên không bao giờ nhận được bất kỳ đánh giá là gì?
What is the name of the shop that is hiring the largest number of employees?,SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,Tên của cửa hàng đang thuê số lượng nhân viên lớn nhất là gì?
Which shop has the most employees? Give me the shop name.,SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,Cửa hàng nào có nhiều nhân viên nhất? Cho tôi tên cửa hàng.
Find the name of the shops that do not hire any employee.,SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),Tìm tên của các cửa hàng không thuê bất kỳ nhân viên nào.
Which shops run with no employees? Find the shop names,SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),Những cửa hàng nào chạy mà không có nhân viên? Tìm tên cửa hàng
Find the number of employees hired in each shop; show the shop name as well.,"SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",Tìm số lượng nhân viên được thuê trong mỗi cửa hàng; Hiển thị tên cửa hàng là tốt.
"For each shop, return the number of employees working there and the name of the shop.","SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name","Đối với mỗi cửa hàng, hãy trả lại số lượng nhân viên làm việc ở đó và tên của cửa hàng."
What is total bonus given in all evaluations?,SELECT sum(bonus) FROM evaluation,Tổng số tiền thưởng được đưa ra trong tất cả các đánh giá là gì?
Find the total amount of bonus given in all the evaluations.,SELECT sum(bonus) FROM evaluation,Tìm tổng số tiền thưởng được đưa ra trong tất cả các đánh giá.
Give me all the information about hiring.,SELECT * FROM hiring,Cung cấp cho tôi tất cả các thông tin về tuyển dụng.
What is all the information about hiring?,SELECT * FROM hiring,Tất cả các thông tin về tuyển dụng là gì?
Which district has both stores with less than 3000 products and stores with more than 10000 products?,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,Quận nào có cả hai cửa hàng với ít hơn 3000 sản phẩm và cửa hàng với hơn 10000 sản phẩm?
Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products.,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,Tìm các quận trong đó có cả hai cửa hàng bán ít hơn 3000 sản phẩm và cửa hàng bán hơn 10000 sản phẩm.
How many different store locations are there?,SELECT count(DISTINCT LOCATION) FROM shop,Có bao nhiêu địa điểm cửa hàng khác nhau?
Count the number of distinct store locations.,SELECT count(DISTINCT LOCATION) FROM shop,Đếm số lượng vị trí cửa hàng riêng biệt.
How many documents do we have?,SELECT count(*) FROM Documents,Chúng ta có bao nhiêu tài liệu?
Count the number of documents.,SELECT count(*) FROM Documents,Đếm số lượng tài liệu.
"List document IDs, document names, and document descriptions for all documents.","SELECT document_id ,  document_name ,  document_description FROM Documents","Danh sách ID tài liệu, tên tài liệu và mô tả tài liệu cho tất cả các tài liệu."
"What are the ids, names, and descriptions for all documents?","SELECT document_id ,  document_name ,  document_description FROM Documents","ID, tên và mô tả cho tất cả các tài liệu là gì?"
What is the document name and template id for document with description with the letter 'w' in it?,"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",Tên tài liệu và ID mẫu cho tài liệu với mô tả với chữ 'W' trong đó là gì?
Return the names and template ids for documents that contain the letter w in their description.,"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",Trả về tên và ID mẫu cho các tài liệu có chứa chữ W trong mô tả của họ.
"What is the document id, template id and description for document named ""Robbin CV""?","SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""","ID tài liệu, ID mẫu và mô tả cho tài liệu có tên là ""Robbin CV"" là gì?"
"Return the document id, template id, and description for the document with the name Robbin CV.","SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""","Trả về ID tài liệu, ID mẫu và mô tả cho tài liệu có tên Robbin CV."
How many different templates do all document use?,SELECT count(DISTINCT template_id) FROM Documents,Có bao nhiêu mẫu khác nhau sử dụng tài liệu?
Count the number of different templates used for documents.,SELECT count(DISTINCT template_id) FROM Documents,Đếm số lượng các mẫu khác nhau được sử dụng cho các tài liệu.
How many documents are using the template with type code 'PPT'?,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',Có bao nhiêu tài liệu đang sử dụng mẫu với mã 'ppt'?
Count the number of documents that use the PPT template type.,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',Đếm số lượng tài liệu sử dụng loại mẫu PPT.
Show all template ids and number of documents using each template.,"SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",Hiển thị tất cả ID mẫu và số lượng tài liệu bằng mỗi mẫu.
"What are all different template ids used for documents, and how many times were each of them used?","SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",Tất cả các ID mẫu khác nhau được sử dụng cho các tài liệu là gì và mỗi trong số chúng được sử dụng bao nhiêu lần?
What is the id and type code for the template used by the most documents?,"SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",ID và mã loại cho mẫu được sử dụng bởi hầu hết các tài liệu là gì?
Return the id and type code of the template that is used for the greatest number of documents.,"SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",Trả về ID và mã loại của mẫu được sử dụng cho số lượng tài liệu lớn nhất.
Show ids for all templates that are used by more than one document.,SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,Hiển thị ID cho tất cả các mẫu được sử dụng bởi nhiều tài liệu.
What are the template ids of any templates used in more than a single document?,SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,ID mẫu của bất kỳ mẫu nào được sử dụng trong nhiều hơn một tài liệu?
Show ids for all templates not used by any document.,SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,Hiển thị ID cho tất cả các mẫu không được sử dụng bởi bất kỳ tài liệu nào.
What are the ids for templates that are not used in any documents?,SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,ID cho các mẫu không được sử dụng trong bất kỳ tài liệu nào là gì?
How many templates do we have?,SELECT count(*) FROM Templates,Chúng ta có bao nhiêu mẫu?
Count the number of templates.,SELECT count(*) FROM Templates,Đếm số lượng mẫu.
"Show template ids, version numbers, and template type codes for all templates.","SELECT template_id ,  version_number ,  template_type_code FROM Templates","Hiển thị ID mẫu, số phiên bản và mã loại mẫu cho tất cả các mẫu."
"What are the ids, version numbers, and type codes for each template?","SELECT template_id ,  version_number ,  template_type_code FROM Templates","Các ID, số phiên bản và mã loại cho mỗi mẫu là gì?"
Show all distinct template type codes for all templates.,SELECT DISTINCT template_type_code FROM Templates,Hiển thị tất cả các mã loại mẫu riêng biệt cho tất cả các mẫu.
What are the different template type codes?,SELECT DISTINCT template_type_code FROM Templates,Các mã loại mẫu khác nhau là gì?
What are the ids of templates with template type code PP or PPT?,"SELECT template_id FROM Templates WHERE template_type_code  =  ""PP"" OR template_type_code  =  ""PPT""",ID ID của các mẫu với mã loại PP hoặc PPT là gì?
Return the ids of templates that have the code PP or PPT.,"SELECT template_id FROM Templates WHERE template_type_code  =  ""PP"" OR template_type_code  =  ""PPT""",Trả về ID của các mẫu có mã PP hoặc PPT.
How many templates have template type code CV?,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",Có bao nhiêu mẫu có mã mẫu CV?
Count the number of templates of the type CV.,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",Đếm số lượng mẫu của loại CV.
What is the version number and template type code for the template with version number later than 5?,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number  >  5",Số phiên bản và mã loại mẫu cho mẫu với số phiên bản muộn hơn 5 là gì?
Return the version numbers and template type codes of templates with a version number greater than 5.,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number  >  5",Trả về các số phiên bản và mã loại mẫu của các mẫu với số phiên bản lớn hơn 5.
Show all template type codes and number of templates for each.,"SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code",Hiển thị tất cả các mã loại mẫu và số lượng mẫu cho mỗi mẫu.
"What are the different template type codes, and how many templates correspond to each?","SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code",Các mã loại mẫu khác nhau là gì và có bao nhiêu mẫu tương ứng với mỗi mẫu?
Which template type code has most number of templates?,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,Mã loại mẫu nào có nhiều mẫu nhất?
Return the type code of the template type that the most templates belong to.,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,Trả về loại mã của loại mẫu mà nhiều mẫu nhất thuộc về.
Show all template type codes with less than three templates.,SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,Hiển thị tất cả các mã loại mẫu với ít hơn ba mẫu.
What are the codes of template types that have fewer than 3 templates?,SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,Các mã của các loại mẫu có ít hơn 3 mẫu là gì?
What the smallest version number and its template type code?,"SELECT min(Version_Number) ,  template_type_code FROM Templates",Số phiên bản nhỏ nhất và mã loại mẫu của nó là gì?
"Return the lowest version number, along with its corresponding template type code.","SELECT min(Version_Number) ,  template_type_code FROM Templates","Trả về số phiên bản thấp nhất, cùng với mã loại mẫu tương ứng của nó."
"What is the template type code of the template used by document with the name ""Data base""?","SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""","Mã loại mẫu của mẫu được sử dụng bởi tài liệu với tên ""Cơ sở dữ liệu"" là gì?"
Return the template type code of the template that is used by a document named Data base.,"SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""",Trả về mã loại mẫu của mẫu được sử dụng bởi một tài liệu có tên là cơ sở dữ liệu.
Show all document names using templates with template type code BK.,"SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",Hiển thị tất cả các tên tài liệu bằng cách sử dụng các mẫu với mã loại BK.
What are the names of documents that use templates with the code BK?,"SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",Tên của các tài liệu sử dụng các mẫu với mã BK là gì?
Show all template type codes and the number of documents using each type.,"SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",Hiển thị tất cả các mã loại mẫu và số lượng tài liệu sử dụng từng loại.
"What are the different template type codes, and how many documents use each type?","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",Các mã loại mẫu khác nhau là gì và có bao nhiêu tài liệu sử dụng từng loại?
Which template type code is used by most number of documents?,SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,Mã loại mẫu nào được sử dụng bởi hầu hết số lượng tài liệu?
Return the code of the template type that is most commonly used in documents.,SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,Trả về mã của loại mẫu được sử dụng phổ biến nhất trong các tài liệu.
Show all template type codes that are not used by any document.,SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,Hiển thị tất cả các mã loại mẫu không được sử dụng bởi bất kỳ tài liệu nào.
What are the codes of template types that are not used for any document?,SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,Các mã của các loại mẫu không được sử dụng cho bất kỳ tài liệu nào là gì?
Show all template type codes and descriptions.,"SELECT template_type_code ,  template_type_description FROM Ref_template_types",Hiển thị tất cả các mã loại mẫu và mô tả.
What are the type codes and descriptions for all template types?,"SELECT template_type_code ,  template_type_description FROM Ref_template_types",Các mã và mô tả loại cho tất cả các loại mẫu là gì?
"What is the template type descriptions for template type code ""AD"".","SELECT template_type_description FROM Ref_template_types WHERE template_type_code  =  ""AD""","Mô tả loại mẫu cho mã loại ""quảng cáo"" là gì."
Return the template type description of the template type with the code AD.,"SELECT template_type_description FROM Ref_template_types WHERE template_type_code  =  ""AD""",Trả về mô tả loại mẫu của loại mẫu với quảng cáo mã.
"What is the template type code for template type description ""Book"".","SELECT template_type_code FROM Ref_template_types WHERE template_type_description  =  ""Book""","Mã loại mẫu cho loại mẫu Mô tả ""Sách"" là gì."
"Return the type code of the template type with the description ""Book"".","SELECT template_type_code FROM Ref_template_types WHERE template_type_description  =  ""Book""","Trả về loại mã của loại mẫu với mô tả ""Sách""."
What are the distinct template type descriptions for the templates ever used by any document?,SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,Các mô tả loại mẫu riêng biệt cho các mẫu từng được sử dụng bởi bất kỳ tài liệu nào?
Return the different descriptions for templates that have been used in a document.,SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,Trả về các mô tả khác nhau cho các mẫu đã được sử dụng trong một tài liệu.
"What are the template ids with template type description ""Presentation"".","SELECT T2.template_id FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code WHERE T1.template_type_description  =  ""Presentation""","ID mẫu với kiểu mẫu Mô tả ""Trình bày"" là gì."
Return the ids corresponding to templates with the description 'Presentation'.,"SELECT T2.template_id FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code WHERE T1.template_type_description  =  ""Presentation""",Trả về ID tương ứng với các mẫu với mô tả 'trình bày'.
